id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,1383,2978,3860,2216,39
2,8321,5923,3860,2216,23
3,3096,8350,3860,2216,34
4,9619,9891,3860,2216,48
5,6360,1320,3860,2216,26
6,6623,5325,3860,2216,32
7,4414,6870,3860,2216,46
8,9392,8366,3860,2216,40
9,9463,7391,3860,2216,44
10,9964,9661,3860,2216,25
11,7318,6813,3860,2216,39
12,2549,4307,3860,2216,46
13,1236,7149,3860,2216,42
14,8807,5933,3860,2216,44
15,3647,3722,3860,2216,39
16,6091,4571,3860,2216,38
17,6813,5048,3860,2216,23
18,1402,6297,3860,2216,31
19,4850,7689,3860,2216,48
20,4697,1563,3860,2216,43
21,1672,2557,3860,2216,42
22,3498,7423,3860,2216,37
23,9935,4861,3860,2216,40
24,9996,3484,3860,2216,42
25,4159,9899,3860,2216,15
26,6695,4262,3860,2216,33
27,7399,2173,3860,2216,25
28,3687,5736,3860,2216,15
29,6617,5126,3860,2216,25
30,7783,4248,3860,2216,44
31,5666,7348,3860,2216,25
32,3741,6845,3860,2216,44
33,6103,9171,3860,2216,17
34,7763,5698,3860,2216,45
35,3360,6736,3860,2216,41
36,2463,9492,3860,2216,29
37,4385,1022,3860,2216,26
38,6775,3605,3860,2216,37
39,1854,7857,3860,2216,18
40,3848,7414,3860,2216,20
41,6738,3265,3860,2216,48
42,8172,4669,3860,2216,43
43,5398,1721,3860,2216,16
44,6975,9415,3860,2216,39
45,6979,9603,3860,2216,37
46,8045,4444,3860,2216,40
47,3066,3985,3860,2216,27
48,3791,4651,3860,2216,45
49,8448,9741,3860,2216,20
50,6917,1673,3860,2216,24
51,7488,5214,3860,2216,38
52,9120,2298,3860,2216,47
53,9415,8097,3860,2216,47
54,7423,9075,3860,2216,27
55,9116,4782,3860,2216,39
56,3574,7996,3860,2216,47
57,4117,3336,3860,2216,46
58,6515,5956,3860,2216,50
59,6261,3731,3860,2216,48
60,9735,7463,3860,2216,21
61,4297,9205,3860,2216,44
62,1926,1078,3860,2216,23
63,3476,4307,3860,2216,50
64,9401,8376,3860,2216,46
65,8690,5776,3860,2216,17
66,5837,1043,3860,2216,41
67,1864,7867,3860,2216,25
68,3074,5799,3860,2216,29
69,2611,3648,3860,2216,28
70,2718,5724,3860,2216,29
