id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,84854,58070,3860,2216,15
2,50278,518,3860,2216,11
3,54132,66851,3860,2216,17
4,62976,12202,3860,2216,17
5,99387,63494,3860,2216,14
6,18406,66237,3860,2216,15
7,26293,30608,3860,2216,18
8,48216,89787,3860,2216,12
9,25018,14453,3860,2216,13
10,29014,55625,3860,2216,20
11,87908,18801,3860,2216,10
12,60290,2361,3860,2216,18
13,38518,15914,3860,2216,16
14,72517,57318,3860,2216,16
15,12215,74877,3860,2216,10
16,40885,28129,3860,2216,11
17,5684,98203,3860,2216,11
18,26039,80561,3860,2216,19
19,14537,54168,3860,2216,13
20,59056,12740,3860,2216,13
21,70702,39616,3860,2216,15
22,9305,24869,3860,2216,12
23,62857,22044,3860,2216,10
24,89618,2472,3860,2216,17
25,49964,14486,3860,2216,11
26,94392,72008,3860,2216,14
27,44706,96864,3860,2216,11
28,95246,59192,3860,2216,11
29,15665,67253,3860,2216,10
30,16574,12528,3860,2216,15
