id_C,CX,CY,Tipo,CapacidadM,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
1,1975,3916,Carton y Papeles,5000,,,3388,1202,,,
2,1197,2951,Carton y Papeles,5000,,,2387,3125,,,
3,7537,1490,Vidrio,5000,,,,,,,983
4,1919,2251,Pilas,5000,2708,3962,,,,,
5,4929,7325,Plastico,5000,,,,,3277,4512,
6,7582,1906,Pilas,5000,4251,2036,,,,,
7,9252,8262,Plastico,5000,,,,,1141,2586,
8,8546,1346,Plastico,5000,,,,,1638,3068,
9,2921,1568,Plastico,5000,,,,,1390,3499,
10,8617,9182,Carton y Papeles,5000,,,3228,3586,,,
11,2698,9145,Carton y Papeles,5000,,,723,723,,,
12,8022,8190,Plastico,5000,,,,,3177,2349,
13,7517,8032,Carton y Papeles,5000,,,1202,1360,,,
14,4190,8701,Pilas,5000,1970,320,,,,,
15,7993,7594,Vidrio,5000,,,,,,,3837
16,7333,5701,Carton y Papeles,5000,,,3883,2241,,,
17,2097,2781,Pilas,5000,2172,2051,,,,,
18,3707,6136,Plastico,5000,,,,,4658,4253,
19,3124,7803,Pilas,5000,3979,463,,,,,
20,1663,8133,Plastico,5000,,,,,3730,2092,
21,1666,3179,Plastico,5000,,,,,2216,3438,
22,1783,2035,Carton y Papeles,5000,,,4192,4424,,,
23,1518,9551,Plastico,5000,,,,,1441,2697,
24,4518,9276,Carton y Papeles,5000,,,4053,4557,,,
25,3179,7934,Vidrio,5000,,,,,,,4273
26,1053,1919,Pilas,5000,1816,4022,,,,,
27,5279,1658,Pilas,5000,3958,4274,,,,,
28,9058,6321,Pilas,5000,2261,568,,,,,
29,8070,4740,Plastico,5000,,,,,2767,3400,
30,6255,5538,Carton y Papeles,5000,,,3130,2522,,,
31,2974,1168,Pilas,5000,1475,1125,,,,,
32,8267,2060,Pilas,5000,4813,350,,,,,
33,8206,1282,Pilas,5000,489,4005,,,,,
34,9512,1658,Carton y Papeles,5000,,,3086,3762,,,
35,9187,3312,Plastico,5000,,,,,3895,1741,
36,3134,7607,Vidrio,5000,,,,,,,2724
37,7093,2565,Plastico,5000,,,,,3209,3040,
38,8439,1573,Pilas,5000,2384,4076,,,,,
39,1680,7954,Carton y Papeles,5000,,,2852,2374,,,
40,9015,3134,Pilas,5000,2505,4552,,,,,
41,7055,9756,Vidrio,5000,,,,,,,4927
42,3378,7098,Pilas,5000,606,952,,,,,
43,7036,1324,Pilas,5000,319,2555,,,,,
44,4572,7787,Carton y Papeles,5000,,,2060,2812,,,
45,6568,5799,Plastico,5000,,,,,5046,1474,
46,5029,7918,Carton y Papeles,5000,,,193,4467,,,
47,1904,3488,Pilas,5000,2817,2825,,,,,
48,7666,7581,Plastico,5000,,,,,2109,2745,
49,7736,4054,Plastico,5000,,,,,2437,4827,
50,4029,1290,Plastico,5000,,,,,4712,4575,
51,8329,5713,Vidrio,5000,,,,,,,516
52,8403,6233,Plastico,5000,,,,,4055,3480,
53,4813,2325,Pilas,5000,1259,4368,,,,,
54,8848,5263,Vidrio,5000,,,,,,,3714
55,2920,5508,Carton y Papeles,5000,,,4095,1426,,,
56,6993,9260,Pilas,5000,393,4152,,,,,
57,8901,6183,Carton y Papeles,5000,,,487,3520,,,
58,7200,6167,Carton y Papeles,5000,,,4556,2597,,,
59,6051,5581,Vidrio,5000,,,,,,,1566
60,6970,9924,Vidrio,5000,,,,,,,4045
61,3454,1704,Vidrio,5000,,,,,,,1322
62,8025,5749,Pilas,5000,4867,2149,,,,,
63,5237,1984,Vidrio,5000,,,,,,,283
64,1659,1986,Pilas,5000,2498,3663,,,,,
65,7536,6408,Pilas,5000,3658,4284,,,,,
66,4424,4296,Pilas,5000,3624,4161,,,,,
67,3794,8594,Vidrio,5000,,,,,,,4951
68,4629,7974,Carton y Papeles,5000,,,1601,355,,,
69,2862,4869,Plastico,5000,,,,,3340,127,
70,4474,6547,Pilas,5000,2796,3977,,,,,
71,3643,1107,Vidrio,5000,,,,,,,4262
72,8918,4625,Pilas,5000,3857,4418,,,,,
73,6853,3645,Plastico,5000,,,,,3173,4185,
74,9680,1431,Vidrio,5000,,,,,,,1616
75,3489,2411,Carton y Papeles,5000,,,2103,4015,,,
76,3420,8444,Pilas,5000,928,3925,,,,,
77,4708,8350,Pilas,5000,1788,2449,,,,,
78,4394,4900,Plastico,5000,,,,,2995,3652,
79,1086,6024,Vidrio,5000,,,,,,,848
80,2444,2403,Pilas,5000,1574,4088,,,,,
81,7423,5190,Vidrio,5000,,,,,,,3706
82,8416,1736,Carton y Papeles,5000,,,516,3517,,,
83,9847,7636,Vidrio,5000,,,,,,,888
84,2236,6516,Plastico,5000,,,,,1617,2482,
85,7263,6000,Vidrio,5000,,,,,,,2055
86,2767,3144,Plastico,5000,,,,,4568,2676,
87,8229,5775,Carton y Papeles,5000,,,4835,4564,,,
88,6163,2183,Carton y Papeles,5000,,,3660,4285,,,
89,8967,8311,Carton y Papeles,5000,,,2361,4419,,,
90,4279,1356,Carton y Papeles,5000,,,2266,2458,,,
91,3133,2106,Carton y Papeles,5000,,,2426,284,,,
92,2421,9015,Plastico,5000,,,,,3965,242,
93,2304,6106,Vidrio,5000,,,,,,,4382
94,7371,3090,Pilas,5000,2570,170,,,,,
95,3081,1001,Plastico,5000,,,,,440,3905,
96,8841,2514,Plastico,5000,,,,,2395,1283,
97,1794,6386,Plastico,5000,,,,,1323,2016,
98,5875,8595,Carton y Papeles,5000,,,787,3578,,,
