id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,8800,3371,3860,2216,40
2,1905,6139,3860,2216,47
3,3653,4698,3860,2216,29
4,6518,3488,3860,2216,29
5,2687,4733,3860,2216,47
6,4273,1467,3860,2216,33
7,5858,6873,3860,2216,37
8,7077,7725,3860,2216,37
9,7747,1401,3860,2216,26
10,5805,9057,3860,2216,50
11,7365,4088,3860,2216,25
12,2524,3252,3860,2216,50
13,8052,6146,3860,2216,44
14,8583,6738,3860,2216,47
15,9121,6009,3860,2216,23
16,2325,5889,3860,2216,17
17,2193,5906,3860,2216,43
18,3703,1452,3860,2216,46
19,1473,8905,3860,2216,27
20,7478,9933,3860,2216,26
21,9587,2972,3860,2216,24
22,3806,9667,3860,2216,39
23,8595,9764,3860,2216,42
24,6769,1856,3860,2216,15
25,4384,2954,3860,2216,24
26,3992,7648,3860,2216,43
27,9935,8324,3860,2216,29
28,3184,4362,3860,2216,30
29,6363,6857,3860,2216,27
30,2851,6985,3860,2216,26
31,7089,8474,3860,2216,37
32,3650,6539,3860,2216,42
33,3756,3123,3860,2216,23
34,9743,3171,3860,2216,16
35,9169,9027,3860,2216,20
36,5443,6856,3860,2216,19
37,4016,3638,3860,2216,34
38,5026,5900,3860,2216,43
39,2520,4581,3860,2216,42
40,1762,4040,3860,2216,46
41,9832,4957,3860,2216,42
42,8885,7670,3860,2216,16
43,3287,6293,3860,2216,45
44,7884,1102,3860,2216,35
45,7468,4407,3860,2216,48
46,2408,2301,3860,2216,17
47,9209,5991,3860,2216,38
48,8661,9314,3860,2216,40
49,5111,2753,3860,2216,49
50,9683,4896,3860,2216,50
