id_C,CX,CY,Tipo,CapacidadM,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
1,2386,5862,Vidrio,5000,,,,,,,4954
2,5604,7313,Plastico,5000,,,,,1975,4895,
3,6464,7203,Plastico,5000,,,,,2485,4163,
4,5674,3387,Vidrio,5000,,,,,,,1177
5,9958,5134,Pilas,5000,3899,4752,,,,,
6,6986,1469,Plastico,5000,,,,,1753,4137,
7,4318,6833,Carton y Papeles,5000,,,514,1853,,,
8,4428,3352,Carton y Papeles,5000,,,2035,2628,,,
9,6024,2662,Vidrio,5000,,,,,,,209
10,2193,2920,Plastico,5000,,,,,4388,3452,
11,1030,2887,Pilas,5000,4200,3628,,,,,
12,4132,9456,Pilas,5000,2083,3482,,,,,
13,1510,8842,Plastico,5000,,,,,311,3277,
14,5059,4581,Pilas,5000,4048,3692,,,,,
15,3011,6807,Vidrio,5000,,,,,,,125
16,7155,4862,Carton y Papeles,5000,,,2975,4778,,,
17,4413,9241,Vidrio,5000,,,,,,,4628
18,1586,3623,Vidrio,5000,,,,,,,820
19,9965,7518,Plastico,5000,,,,,3272,1053,
20,7481,6743,Carton y Papeles,5000,,,800,2140,,,
21,7700,7171,Plastico,5000,,,,,1463,2781,
22,7784,6917,Vidrio,5000,,,,,,,1063
23,9952,9878,Carton y Papeles,5000,,,319,347,,,
24,3845,3829,Pilas,5000,5053,2509,,,,,
25,5732,2291,Vidrio,5000,,,,,,,4582
26,9823,5635,Carton y Papeles,5000,,,4376,4526,,,
27,2816,6609,Pilas,5000,4401,1927,,,,,
28,2503,7746,Vidrio,5000,,,,,,,431
29,7383,8232,Plastico,5000,,,,,3696,498,
30,7435,1437,Vidrio,5000,,,,,,,1342
31,3890,9942,Plastico,5000,,,,,5048,4572,
32,3245,1556,Vidrio,5000,,,,,,,3441
33,3038,7750,Plastico,5000,,,,,3438,1122,
34,9355,7145,Carton y Papeles,5000,,,4401,2903,,,
35,7920,3943,Pilas,5000,1000,3019,,,,,
36,2996,2883,Carton y Papeles,5000,,,3409,3347,,,
37,6340,7615,Vidrio,5000,,,,,,,1878
38,2237,9776,Vidrio,5000,,,,,,,2738
39,6424,5235,Plastico,5000,,,,,1924,4565,
40,2363,9277,Plastico,5000,,,,,3608,2840,
41,3431,2696,Plastico,5000,,,,,4006,3187,
42,6455,7123,Pilas,5000,3929,4487,,,,,
43,5495,8733,Pilas,5000,904,2828,,,,,
44,3941,1537,Vidrio,5000,,,,,,,4242
45,1513,1703,Plastico,5000,,,,,2816,3543,
46,7507,5539,Carton y Papeles,5000,,,241,795,,,
47,1095,5399,Carton y Papeles,5000,,,2618,4104,,,
48,4927,9945,Pilas,5000,830,882,,,,,
49,8094,8163,Vidrio,5000,,,,,,,3468
50,1060,2917,Pilas,5000,1223,4285,,,,,
51,2407,6687,Plastico,5000,,,,,4731,3377,
52,5793,5333,Pilas,5000,4990,2816,,,,,
53,7845,8835,Carton y Papeles,5000,,,3819,2204,,,
54,2358,6565,Carton y Papeles,5000,,,4623,4932,,,
55,8639,8163,Pilas,5000,117,5035,,,,,
56,3577,1125,Carton y Papeles,5000,,,4912,2940,,,
57,2180,2199,Plastico,5000,,,,,607,117,
58,1454,4771,Pilas,5000,963,541,,,,,
59,5080,7872,Plastico,5000,,,,,3097,3488,
60,8564,9432,Plastico,5000,,,,,1849,964,
61,7889,5208,Pilas,5000,3992,595,,,,,
62,7971,7814,Carton y Papeles,5000,,,4472,485,,,
