id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,9838,8247,3860,2216,30
2,8352,7606,3860,2216,28
3,6399,8773,3860,2216,17
4,1791,2000,3860,2216,15
5,4627,6233,3860,2216,15
6,3431,9912,3860,2216,32
7,9232,6782,3860,2216,29
8,4819,3873,3860,2216,27
9,8853,7895,3860,2216,45
10,9798,9462,3860,2216,41
11,4218,2942,3860,2216,28
12,1406,4466,3860,2216,44
13,5141,9669,3860,2216,30
14,8209,2715,3860,2216,46
15,4607,4828,3860,2216,27
16,6072,1073,3860,2216,26
17,4435,5300,3860,2216,23
18,2701,8869,3860,2216,26
19,9283,9267,3860,2216,35
20,9970,3280,3860,2216,30
21,5999,1699,3860,2216,31
22,7745,4651,3860,2216,36
23,7230,6634,3860,2216,46
24,1905,8905,3860,2216,20
25,5413,4573,3860,2216,15
26,6259,4760,3860,2216,20
27,2471,8380,3860,2216,25
28,5648,4493,3860,2216,24
29,6237,1837,3860,2216,24
30,2308,5144,3860,2216,22
31,3895,3339,3860,2216,22
32,1218,6703,3860,2216,29
33,9660,2749,3860,2216,35
34,9294,2111,3860,2216,24
35,2010,7703,3860,2216,29
36,4287,7983,3860,2216,36
37,2725,2023,3860,2216,42
38,1241,4485,3860,2216,44
39,8106,1856,3860,2216,48
40,1577,8918,3860,2216,37
41,1039,3946,3860,2216,34
42,2323,3799,3860,2216,26
43,1984,3384,3860,2216,31
44,5180,3614,3860,2216,50
45,9533,5514,3860,2216,22
46,5591,7212,3860,2216,43
47,1252,3687,3860,2216,25
48,3967,9815,3860,2216,30
49,7293,6080,3860,2216,18
50,9536,2954,3860,2216,46
51,3936,3095,3860,2216,46
52,3292,6779,3860,2216,34
53,7281,6606,3860,2216,31
54,1166,8729,3860,2216,41
55,4197,5684,3860,2216,40
56,2693,1178,3860,2216,31
57,6425,3489,3860,2216,46
58,5669,4064,3860,2216,50
59,7341,4672,3860,2216,41
60,2662,4326,3860,2216,20
61,6977,8209,3860,2216,21
62,1235,7011,3860,2216,48
63,2880,1028,3860,2216,34
64,6637,9959,3860,2216,42
65,9530,8123,3860,2216,22
66,3890,7732,3860,2216,49
67,9924,7941,3860,2216,27
