id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
1;Pilas;10791;7078;4175;2058;1554;1288;2875;3744;2036;
2;Carton;5015;3482;;;2218;1900;1630;532;737;
3;Carton;1333;5979;;;4373;1068;4386;184;3874;
4;RAEE;8825;7384;;4255;716;;;;;
5;Vidiro;9148;6233;2323;2291;2878;;3511;1418;2874;
6;Vidiro;2699;1333;2095;2551;3508;;4977;4335;497;
7;RAEE;1210;10215;;935;1635;;;;;
8;Carton;1442;6919;;;3368;3755;3765;3875;724;
9;Plastico;2813;10008;488;;2652;1177;251;3970;303;
10;Carton;9202;1556;;;1649;4459;320;1527;3695;
11;Plastico;7969;3989;3225;;3925;797;3668;1196;3810;
12;Plastico;4188;7104;2063;;1828;1993;2423;3775;2381;
13;Vidiro;10875;2105;198;1408;735;;754;3220;3637;
14;RAEE;1013;10692;;5060;3113;;;;;
15;RAEE;5305;10122;;4582;1271;;;;;
16;Carton;7059;7931;;;699;3135;3709;4014;4863;
17;Vidiro;1502;2237;4235;2565;995;;3020;2663;2304;
18;Carton;4556;5569;;;2193;1034;1468;3509;995;
19;RAEE;6733;8714;;1972;3649;;;;;
20;Pilas;3541;10283;3874;1334;3615;2483;248;3378;4337;
21;Pilas;2386;4068;303;4064;2745;2866;1268;2653;3787;
22;Vidiro;10196;1998;664;4507;3320;;1397;3574;4690;
23;Carton;5522;3023;;;257;2603;1005;1492;2470;
24;Vidiro;5641;8892;330;730;3816;;5055;933;4132;
25;Plastico;3601;10951;254;;3738;848;1253;1064;2764;
26;RAEE;7912;10184;;1838;3874;;;;;
27;Plastico;2188;1113;1445;;4068;4615;4189;1438;4256;
28;Vidiro;7982;2986;4064;2155;794;;4898;1187;4747;
29;Vidiro;10749;3640;4840;4840;3758;;2156;2505;671;
30;Carton;7240;3719;;;1467;4007;3875;3724;1704;
31;RAEE;8743;9139;;4182;3747;;;;;
32;Carton;5028;8420;;;3092;927;1532;2890;3367;
33;RAEE;2079;9892;;2332;5084;;;;;
34;Pilas;2999;6891;856;2914;4732;3575;1575;1099;3834;
35;RAEE;7602;1976;;4446;567;;;;;
36;Pilas;7033;10780;1513;3652;4953;4505;4480;1385;3648;
37;Plastico;9999;9716;1358;;1048;3876;4709;3291;2268;
38;Pilas;1366;3357;3941;3933;4252;2676;1887;228;3015;
39;Pilas;2133;2947;2365;2514;1813;918;2367;2570;1650;
40;RAEE;5904;3370;;3720;1262;;;;;
41;Vidiro;4159;5569;2868;4212;3558;;3234;1570;359;
42;Vidiro;4328;7655;2356;3542;991;;1623;1028;2938;
43;Vidiro;9175;9193;1340;463;3972;;3810;2013;3877;
44;Plastico;7081;4814;2343;;2073;3418;3634;1194;3883;
45;Pilas;2992;6580;3703;4008;3360;4466;2616;3154;1709;
46;Pilas;10039;6334;2314;4980;2505;3554;343;1377;3617;
47;Vidiro;4509;2406;2423;256;3293;;749;3574;3179;
48;RAEE;7743;3257;;2423;314;;;;;
49;RAEE;6027;8584;;846;200;;;;;
50;Pilas;3881;3355;4667;4607;2806;4547;2012;2613;4791;
51;Pilas;10542;7030;2400;2080;1975;2556;1625;2624;1031;
52;Pilas;5605;5267;2481;3043;4855;2508;627;4681;4606;
53;RAEE;1627;9814;;1219;3482;;;;;
54;RAEE;3721;9826;;1086;1439;;;;;
55;Carton;4872;7880;;;3524;4280;2153;400;1737;
56;Pilas;9578;5176;4635;3544;4912;2016;1487;1019;777;
57;Vidiro;2914;1501;3993;767;3497;;113;501;2571;
58;RAEE;1191;10583;;2982;3555;;;;;
59;Plastico;7689;2603;969;;3756;3632;3958;3686;4160;
60;Carton;3778;9122;;;4043;1490;343;4962;2167;
61;Vidiro;9509;7715;3855;3835;3452;;3868;4236;923;
62;Plastico;9959;4719;1941;;2275;3773;4896;1859;995;
63;Vidiro;5804;7643;4842;803;3984;;2964;4660;4279;
64;Carton;6607;7155;;;2774;1117;2209;2729;4872;
65;Plastico;6844;6982;5080;;1905;3951;3800;3890;2144;
66;Plastico;8227;9815;438;;4810;4448;2081;916;4190;
67;Pilas;8684;7052;2344;331;4014;4852;4372;3040;869;
68;Carton;8733;6570;;;3677;1652;533;5010;4809;
69;Carton;1636;10962;;;4132;3641;3767;3676;3979;
70;Pilas;4377;3924;645;2114;4996;1697;4069;3593;1928;
71;Vidiro;10235;9245;2276;4114;286;;2846;1007;3864;
72;Carton;10298;7340;;;459;3428;5088;311;2460;
73;Carton;9529;4878;;;2508;3707;3960;3368;4253;
74;Pilas;1874;9164;1296;1757;2679;1883;1354;132;4059;
75;Pilas;1268;1218;1275;434;2455;3967;460;2815;2295;
76;Plastico;6348;8926;3977;;3256;3295;2737;1863;3507;
77;Plastico;3257;6916;1874;;1767;1930;4883;698;3713;
78;Pilas;2038;6630;2758;2300;2082;3934;2635;4438;4153;
79;RAEE;5247;4405;;1048;2783;;;;;
80;RAEE;9508;10825;;1804;3915;;;;;
81;Plastico;8602;6111;4971;;845;2946;1638;4027;4082;
82;Pilas;4488;4893;4218;2918;2778;2770;4900;2964;1657;
83;Pilas;1490;7918;3995;4619;1853;3030;3127;3030;3869;
84;RAEE;7083;7745;;1295;4270;;;;;
85;Vidiro;8595;4292;585;2320;2450;;4073;1213;2470;
86;Carton;10443;6283;;;2213;1535;4365;123;2026;
87;Vidiro;2183;1828;2154;4033;204;;182;1963;3973;
88;RAEE;2165;10961;;3812;4231;;;;;
89;RAEE;6544;3005;;1129;677;;;;;
90;Plastico;2202;7354;3672;;2249;3425;1425;4363;4860;
91;Vidiro;6591;5286;3226;1566;312;;281;499;416;
92;Carton;2615;4614;;;2880;3675;3591;2945;4158;
93;Pilas;1387;10850;2869;1879;4212;4223;4921;4136;1373;
94;Vidiro;5498;1362;710;2405;2626;;3749;531;444;
95;Pilas;6213;2964;1981;3679;809;3874;2812;737;2365;
96;Pilas;1557;7047;1859;4057;1874;3638;4521;2349;3459;
97;RAEE;5810;10874;;1624;3214;;;;;
98;Plastico;5819;4829;4920;;712;2436;133;4029;4531;
99;Vidiro;7914;8508;789;320;3582;;4406;877;4629;
100;RAEE;10663;4888;;1537;2526;;;;;
101;Plastico;6612;6039;522;;5013;1446;3398;3128;2618;
102;Vidiro;9479;2372;4192;3809;3824;;3121;4592;2090;
103;Carton;2881;8337;;;3554;919;3438;683;449;
104;Pilas;5353;10472;891;1998;2252;2282;4136;2675;2195;
105;Pilas;2734;8225;4352;805;2948;1691;1249;3009;1767;
106;Plastico;1522;4753;2503;;1191;2789;957;3362;2479;
107;Plastico;3793;4611;2365;;251;3975;4263;2404;1157;
108;Vidiro;10551;2231;1386;4908;1080;;1990;613;280;
109;RAEE;5833;4014;;1600;3636;;;;;
110;Plastico;2843;6158;4386;;2947;4601;2648;326;2394;
111;RAEE;3512;7958;;4115;934;;;;;
112;Vidiro;1075;8671;4726;354;2848;;2364;163;3829;
113;RAEE;10155;1576;;4088;3691;;;;;
114;RAEE;4351;6489;;1646;2099;;;;;
115;Carton;6771;8184;;;373;4832;172;2667;2344;
116;Pilas;4382;9479;668;3654;4031;3912;4632;4286;1660;
117;Carton;2797;1601;;;1052;2629;2003;1392;1220;
118;Plastico;6254;7781;3252;;3880;1823;436;5078;3448;
119;Vidiro;1068;2402;3765;4885;847;;1377;1805;753;
120;Pilas;2560;2869;2198;3530;2082;2799;1523;3034;329;
121;Carton;4326;5227;;;5032;2460;3753;3184;2593;
122;Carton;2729;9420;;;177;4941;326;2445;4958;
123;Pilas;2363;10444;3168;197;2795;5038;383;1246;4820;
124;Vidiro;8265;9845;1652;526;4570;;2231;3228;4502;
125;RAEE;1843;9133;;3436;4962;;;;;
126;Pilas;8259;8160;3552;2486;3737;3410;201;3182;4545;
127;Vidiro;4169;4179;4559;4914;4739;;631;2180;4936;
128;Vidiro;7675;5984;2597;2215;4843;;3351;4410;2976;
129;Carton;3090;8647;;;802;1259;4131;606;4997;
130;Vidiro;5020;9817;2202;4714;4619;;1734;4559;431;
131;Plastico;7448;10098;4980;;387;3989;4964;2002;1486;
132;Pilas;9331;2645;2742;973;4532;1741;5064;1586;4252;
133;RAEE;6347;2993;;4468;910;;;;;
134;Carton;1399;8822;;;1370;4556;1336;1701;2357;
135;RAEE;7686;8464;;2073;1453;;;;;
136;Plastico;10706;9875;3137;;1972;1534;2131;4198;966;
137;Vidiro;4672;1414;4276;2214;4446;;3325;1582;1608;
138;RAEE;10976;6656;;1347;1565;;;;;
139;Plastico;10520;8848;1307;;1764;3663;3280;4470;3369;
140;Plastico;4408;5814;1732;;1348;4790;2182;2214;4815;
141;Carton;8497;10467;;;1063;265;2217;2545;1773;
142;Vidiro;3093;10453;4792;1018;4578;;3993;1092;2137;
143;Vidiro;1557;5556;5027;2925;5078;;1193;584;3062;
144;Plastico;3341;6175;4556;;4990;346;375;3881;1309;
145;Carton;6441;3250;;;2214;796;4559;3524;488;
146;Carton;1378;10255;;;1470;1392;4939;2378;2962;
147;Plastico;7118;1104;2312;;688;2255;1005;863;3652;
148;Pilas;1361;3005;2089;887;1459;2530;3137;1465;996;
149;Carton;9733;6824;;;4222;2654;3676;4855;377;
150;Pilas;2220;6946;4183;3517;4111;3375;2081;4700;1882;
151;RAEE;8886;2715;;4700;3821;;;;;
152;Pilas;7836;7589;3295;471;3997;4660;1367;4083;1837;
153;Carton;2940;10457;;;1968;4312;4668;3189;259;
154;Carton;4476;3172;;;2587;1899;657;3539;3682;
155;Vidiro;10795;6155;4495;328;2205;;2436;1188;400;
156;Vidiro;8707;2337;427;420;3050;;2367;4877;3693;
157;RAEE;6488;1342;;3677;601;;;;;
158;RAEE;8990;8101;;1929;4000;;;;;
159;RAEE;8338;1269;;2233;524;;;;;
160;RAEE;10103;8881;;1308;317;;;;;
161;Plastico;5444;3860;881;;4173;4704;1202;3475;3323;
162;Carton;3231;7969;;;2673;2935;3740;4526;925;
