id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
1;RAEE;3336;7827;;;2979;4295;2740;;1491;
2;Pilas;7001;4457;3774;3910;;;2309;;;
3;Carton;9426;8938;;3324;;;;;;
4;Plastico;3991;6015;940;4456;3902;4740;1377;1025;1189;
5;Pilas;6893;10716;4592;2152;;;4203;;;
6;Vidiro;3176;5932;;1268;;2775;;;751;
7;Carton;5625;1556;;4888;;;;;;
8;Vidiro;10117;10104;;4733;;3780;;;2169;
9;RAEE;7000;2337;;;1808;1592;4001;;3085;
10;Pilas;8417;10991;2233;2366;;;1174;;;
11;Vidiro;6538;8721;;1922;;1119;;;871;
12;RAEE;10497;7671;;;1505;2449;1637;;622;
13;Carton;7453;2967;;1585;;;;;;
14;Plastico;10036;3508;2046;4317;4414;947;3654;1832;2290;
15;RAEE;6137;6217;;;1311;855;3630;;914;
16;Vidiro;8577;6902;;2175;;4025;;;4787;
17;Carton;4480;7274;;4103;;;;;;
18;Carton;10079;5543;;664;;;;;;
19;Vidiro;10931;9019;;1977;;3688;;;4153;
20;Plastico;10077;3143;2719;2380;2454;4880;4943;3210;4763;
21;Pilas;6658;3039;5048;4214;;;4590;;;
22;RAEE;6987;9947;;;3663;4402;1295;;4558;
23;RAEE;10813;9111;;;4284;2949;2719;;4225;
24;Vidiro;9254;9048;;1843;;2119;;;5000;
25;Vidiro;1450;2800;;5012;;1563;;;1853;
26;Carton;7951;8028;;1166;;;;;;
27;Pilas;2518;8688;3734;2703;;;767;;;
28;Pilas;2181;9413;4392;4255;;;1116;;;
29;Carton;4493;7774;;3200;;;;;;
30;Pilas;2174;3761;3293;4113;;;1745;;;
31;Plastico;5993;6109;2908;1962;3609;1288;5016;1027;4158;
32;Plastico;4956;8292;1660;3059;325;1425;4891;969;580;
33;Carton;8159;6715;;3753;;;;;;
34;Carton;4815;10780;;110;;;;;;
35;Vidiro;3974;2780;;4419;;1989;;;4665;
36;RAEE;4480;9751;;;4768;119;453;;3827;
37;Carton;9976;3645;;1988;;;;;;
38;Vidiro;2956;3997;;3199;;318;;;146;
39;Plastico;1259;1933;4012;1200;4885;1778;2563;4211;4910;
40;RAEE;6471;10782;;;1488;3362;1903;;4563;
41;Vidiro;3931;2822;;3110;;2250;;;266;
42;Plastico;6781;6390;230;3704;322;449;102;1933;1382;
43;Pilas;4654;3097;4891;3875;;;1298;;;
44;Carton;9902;10938;;3785;;;;;;
45;Plastico;2637;5409;4892;324;1330;1715;1493;4340;217;
46;Vidiro;7559;1022;;133;;1604;;;564;
47;Carton;7607;2853;;3540;;;;;;
48;Plastico;10488;1472;3323;364;765;873;4266;703;3894;
49;Pilas;5203;9592;1251;3485;;;4880;;;
50;Vidiro;4733;7352;;3074;;1569;;;4184;
51;Plastico;5348;9329;952;3893;825;2806;711;617;3646;
52;RAEE;7084;2055;;;2800;3172;3994;;3318;
53;Plastico;9675;10040;2367;3695;5025;2104;3475;3758;3456;
54;Vidiro;6900;7632;;5084;;2432;;;4607;
55;Vidiro;1454;4185;;1279;;991;;;364;
56;Pilas;9048;1789;4203;4010;;;500;;;
57;RAEE;8175;3804;;;2302;1944;2493;;922;
58;Carton;1439;3318;;267;;;;;;
59;Plastico;1976;3535;4061;3813;1152;1393;4672;1606;4578;
60;Carton;10225;5037;;942;;;;;;
61;Plastico;3085;3510;2641;1520;4043;1168;676;4014;4723;
62;Pilas;3420;2307;4312;5077;;;4723;;;
63;Pilas;10379;8305;546;1366;;;2323;;;
64;Vidiro;3850;9912;;808;;4842;;;2473;
65;Pilas;2097;2464;4635;426;;;1858;;;
66;Vidiro;4428;9099;;4596;;127;;;2419;
67;Vidiro;5119;8448;;1016;;3112;;;5055;
68;Pilas;7892;9743;502;641;;;4979;;;
69;Vidiro;3626;4392;;874;;552;;;4985;
70;Carton;5499;8902;;4167;;;;;;
71;Plastico;8437;5380;965;2579;4330;1813;3958;3001;933;
72;Carton;8658;3879;;770;;;;;;
