id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,4097,4693,4000,2000,39
2,3942,4494,4000,2000,54
3,2089,856,4000,2000,41
4,4194,3724,4000,2000,13
5,2045,3491,4000,2000,37
6,992,1857,4000,2000,17
7,3101,2006,4000,2000,51
8,119,442,4000,2000,42
9,3578,4377,4000,2000,29
10,362,1285,4000,2000,14
11,1410,1634,4000,2000,59
12,141,1828,4000,2000,55
13,4188,169,4000,2000,12
14,1769,4263,4000,2000,36
15,124,2561,4000,2000,27
16,1651,3453,4000,2000,36
17,3210,2806,4000,2000,44
18,4251,4177,4000,2000,38
19,785,2656,4000,2000,15
20,1655,2918,4000,2000,52
21,2261,580,4000,2000,37
22,2460,622,4000,2000,17
23,3406,1062,4000,2000,37
24,108,4083,4000,2000,52
25,1786,460,4000,2000,13
26,1855,2011,4000,2000,18
27,3681,1474,4000,2000,26
28,117,1977,4000,2000,54
29,1895,2663,4000,2000,12
30,4303,570,4000,2000,32
31,2895,2731,4000,2000,12
32,4374,5091,4000,2000,36
33,2582,3397,4000,2000,50
34,2211,4757,4000,2000,34
35,1003,1443,4000,2000,44
36,3609,4550,4000,2000,57
37,919,3131,4000,2000,31
38,936,4500,4000,2000,11
39,1382,1296,4000,2000,24
40,736,499,4000,2000,44
41,2908,4646,4000,2000,25
42,1912,273,4000,2000,18
43,2791,4107,4000,2000,18
44,4631,1218,4000,2000,25
45,1807,3473,4000,2000,21
46,2991,3334,4000,2000,21
47,3791,4154,4000,2000,55
48,964,1342,4000,2000,57
49,5015,2624,4000,2000,53
50,1629,3260,4000,2000,54
51,5065,2420,4000,2000,53
52,1132,584,4000,2000,28
53,2191,3275,4000,2000,35
54,4251,4159,4000,2000,55
55,968,866,4000,2000,30
56,381,110,4000,2000,15
57,4245,3801,4000,2000,19
58,2492,1017,4000,2000,11
59,139,933,4000,2000,37
60,335,3814,4000,2000,49
61,929,3780,4000,2000,19
62,3774,1164,4000,2000,53
63,1792,4607,4000,2000,31
64,169,3758,4000,2000,42
65,4664,4627,4000,2000,10
66,3885,1260,4000,2000,20
67,1340,405,4000,2000,23
68,2849,2797,4000,2000,41
69,1952,2837,4000,2000,26
70,3579,3072,4000,2000,40
