id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,1127,2726,4000,2000,11
2,3814,3818,4000,2000,48
3,1366,4090,4000,2000,21
4,1338,1718,4000,2000,18
5,987,1694,4000,2000,33
6,796,3082,4000,2000,56
7,2126,4145,4000,2000,10
8,630,2644,4000,2000,21
9,2178,3928,4000,2000,29
10,800,2346,4000,2000,45
11,1219,4725,4000,2000,21
12,1672,3440,4000,2000,39
13,4711,1058,4000,2000,31
14,2974,3648,4000,2000,51
15,4083,4535,4000,2000,46
16,358,231,4000,2000,30
17,2404,3609,4000,2000,25
18,1357,4139,4000,2000,21
19,3268,1218,4000,2000,51
20,2137,3270,4000,2000,48
21,3173,741,4000,2000,25
22,1834,2314,4000,2000,15
23,566,3277,4000,2000,25
24,3287,1151,4000,2000,23
25,331,1486,4000,2000,59
26,3969,1745,4000,2000,42
27,589,401,4000,2000,54
28,2606,3010,4000,2000,43
29,3519,1179,4000,2000,13
30,3261,3216,4000,2000,36
31,249,2641,4000,2000,27
32,3214,728,4000,2000,41
33,872,1194,4000,2000,20
34,4487,733,4000,2000,22
35,3003,964,4000,2000,10
36,954,4833,4000,2000,57
37,4036,1674,4000,2000,11
38,3332,4180,4000,2000,21
39,1668,2600,4000,2000,52
40,1121,761,4000,2000,21
41,1449,2262,4000,2000,12
42,1067,1728,4000,2000,40
43,4250,3852,4000,2000,36
44,611,4592,4000,2000,20
45,4375,2495,4000,2000,36
46,877,3349,4000,2000,20
47,4025,3637,4000,2000,46
48,178,1870,4000,2000,27
49,4241,3438,4000,2000,29
50,4384,811,4000,2000,42
51,3995,2161,4000,2000,56
52,2499,4480,4000,2000,36
53,1632,4982,4000,2000,39
54,1858,1845,4000,2000,31
55,4070,1120,4000,2000,26
56,2147,3250,4000,2000,27
57,1309,3527,4000,2000,14
58,2045,3605,4000,2000,34
59,3214,2746,4000,2000,24
60,3235,3382,4000,2000,36
61,3917,3629,4000,2000,49
62,4465,1029,4000,2000,31
63,1642,2561,4000,2000,13
64,3923,4319,4000,2000,59
65,4344,3290,4000,2000,31
66,3512,1689,4000,2000,31
67,2281,2898,4000,2000,58
68,3235,4843,4000,2000,13
69,2312,4310,4000,2000,12
