id_C,CX,CY,Tipo,CapacidadM,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
1,1910,3772,Vidrio,5000,,,,,,,990
2,1401,4828,Carton y Papeles,5000,,,3672,4788,,,
3,9144,9301,Vidrio,5000,,,,,,,3672
4,1442,6978,Carton y Papeles,5000,,,1154,852,,,
5,4307,7077,Vidrio,5000,,,,,,,1557
6,3493,822,Vidrio,5000,,,,,,,2972
7,6697,1192,Plastico,5000,,,,,2872,4577,
8,2201,4196,Vidrio,5000,,,,,,,3849
9,8111,3301,Carton y Papeles,5000,,,381,2225,,,
10,2836,6696,Vidrio,5000,,,,,,,4151
11,7322,2515,Carton y Papeles,5000,,,3641,2867,,,
12,5327,2200,Vidrio,5000,,,,,,,1315
13,6350,5042,Plastico,5000,,,,,1661,1230,
14,2658,6542,Pilas,5000,3834,1155,,,,,
15,5715,4353,Pilas,5000,633,4727,,,,,
16,2837,7197,Plastico,5000,,,,,1688,479,
17,2671,773,Carton y Papeles,5000,,,4497,4906,,,
18,689,9672,Plastico,5000,,,,,1475,4030,
19,7247,7084,Vidrio,5000,,,,,,,3522
20,6080,6523,Pilas,5000,600,3804,,,,,
21,7635,6549,Carton y Papeles,5000,,,1107,4207,,,
22,4816,9626,Plastico,5000,,,,,1000,3327,
23,3819,6719,Carton y Papeles,5000,,,2215,2305,,,
24,846,5889,Plastico,5000,,,,,4697,4878,
25,6908,7361,Pilas,5000,752,2138,,,,,
26,8163,4863,Plastico,5000,,,,,1731,612,
27,2715,978,Plastico,5000,,,,,2111,3234,
28,5680,1041,Vidrio,5000,,,,,,,3269
29,2589,8233,Pilas,5000,1738,3552,,,,,
30,1728,5106,Vidrio,5000,,,,,,,161
31,4765,1193,Pilas,5000,551,3865,,,,,
32,4000,2005,Carton y Papeles,5000,,,2910,4324,,,
33,2629,9434,Vidrio,5000,,,,,,,3810
34,3908,9994,Vidrio,5000,,,,,,,4260
35,4942,8484,Carton y Papeles,5000,,,1109,1566,,,
36,6437,6511,Plastico,5000,,,,,887,3958,
37,6902,816,Vidrio,5000,,,,,,,2925
38,1638,9176,Pilas,5000,1862,3438,,,,,
39,8138,706,Plastico,5000,,,,,225,1572,
40,5012,3618,Carton y Papeles,5000,,,3395,200,,,
41,3975,5872,Pilas,5000,1847,151,,,,,
42,5460,2721,Carton y Papeles,5000,,,4331,1954,,,
43,9840,5319,Plastico,5000,,,,,2972,1116,
44,9825,913,Plastico,5000,,,,,1387,1178,
45,7618,8764,Plastico,5000,,,,,547,3355,
46,5554,9172,Vidrio,5000,,,,,,,3365
47,2662,7611,Carton y Papeles,5000,,,1006,3575,,,
48,9790,9038,Pilas,5000,3831,1712,,,,,
49,5744,8843,Vidrio,5000,,,,,,,3521
50,9410,4694,Plastico,5000,,,,,4852,4993,
51,5869,5560,Pilas,5000,3147,1445,,,,,
52,3378,5391,Pilas,5000,1246,2848,,,,,
53,4225,4320,Carton y Papeles,5000,,,1829,4702,,,
54,9189,2279,Vidrio,5000,,,,,,,4701
55,3725,1280,Plastico,5000,,,,,3237,2340,
56,1133,1680,Pilas,5000,2347,4139,,,,,
57,7352,6642,Vidrio,5000,,,,,,,2466
58,5941,1758,Pilas,5000,4137,3372,,,,,
59,6314,2221,Pilas,5000,2001,3456,,,,,
60,9441,4875,Pilas,5000,1628,3229,,,,,
61,7170,6365,Plastico,5000,,,,,1381,3123,
62,1078,2915,Plastico,5000,,,,,780,820,
63,3441,6380,Plastico,5000,,,,,1927,3569,
64,9300,5799,Vidrio,5000,,,,,,,5008
65,4487,2909,Vidrio,5000,,,,,,,110
66,7883,4863,Plastico,5000,,,,,1494,4600,
67,5736,2309,Plastico,5000,,,,,4542,1847,
68,1388,3226,Plastico,5000,,,,,2198,566,
69,9022,4039,Plastico,5000,,,,,1235,190,
70,3874,2516,Plastico,5000,,,,,4488,4898,
71,5901,6345,Plastico,5000,,,,,1017,3028,
72,2996,9411,Carton y Papeles,5000,,,3650,2403,,,
73,8834,4738,Vidrio,5000,,,,,,,4330
74,5741,1663,Vidrio,5000,,,,,,,1618
75,2821,9825,Carton y Papeles,5000,,,2944,3797,,,
76,6451,3502,Plastico,5000,,,,,2368,3808,
77,1295,835,Pilas,5000,114,3308,,,,,
78,4984,7435,Plastico,5000,,,,,4556,1407,
79,6240,2539,Pilas,5000,1654,3225,,,,,
80,6539,9178,Vidrio,5000,,,,,,,4141
81,4393,2128,Pilas,5000,3069,3530,,,,,
82,2109,7600,Plastico,5000,,,,,1504,799,
83,9418,4569,Plastico,5000,,,,,2001,4349,
84,8119,5949,Carton y Papeles,5000,,,4440,3579,,,
85,1298,9379,Carton y Papeles,5000,,,2310,2341,,,
86,3143,5350,Carton y Papeles,5000,,,1008,4659,,,
87,8753,7130,Carton y Papeles,5000,,,1068,4191,,,
88,8150,6021,Vidrio,5000,,,,,,,4276
89,8585,6609,Carton y Papeles,5000,,,5008,1935,,,
90,5066,8852,Plastico,5000,,,,,2914,1413,
91,7591,895,Carton y Papeles,5000,,,1956,4629,,,
92,5754,2973,Plastico,5000,,,,,386,3995,
93,5644,1766,Plastico,5000,,,,,2437,1290,
94,1031,6776,Vidrio,5000,,,,,,,1686
95,5053,8273,Vidrio,5000,,,,,,,2664
96,9632,4176,Carton y Papeles,5000,,,4860,4874,,,
97,8414,1639,Plastico,5000,,,,,1678,2134,
98,789,582,Carton y Papeles,5000,,,2115,3102,,,
99,1019,6903,Pilas,5000,2567,3630,,,,,
100,7435,5179,Plastico,5000,,,,,3827,1818,
101,4163,2599,Pilas,5000,1641,3131,,,,,
102,6421,3247,Carton y Papeles,5000,,,4849,4012,,,
103,9932,4589,Vidrio,5000,,,,,,,1487
104,2997,6837,Vidrio,5000,,,,,,,4234
105,2161,4410,Pilas,5000,449,2457,,,,,
106,2753,4413,Plastico,5000,,,,,2589,1373,
107,8948,9840,Pilas,5000,3701,2500,,,,,
108,2956,4746,Plastico,5000,,,,,279,4534,
109,7237,1848,Pilas,5000,3647,2537,,,,,
110,5188,2378,Pilas,5000,2466,2419,,,,,
111,8996,3924,Plastico,5000,,,,,2545,4137,
112,1629,3476,Plastico,5000,,,,,4086,2168,
113,6798,9478,Vidrio,5000,,,,,,,188
114,8414,7994,Pilas,5000,623,1575,,,,,
115,9249,8926,Pilas,5000,1109,300,,,,,
116,7597,8857,Carton y Papeles,5000,,,4818,610,,,
117,1557,3343,Plastico,5000,,,,,1092,3690,
118,8001,6055,Pilas,5000,3492,429,,,,,
119,5746,4877,Vidrio,5000,,,,,,,4278
120,9642,9452,Carton y Papeles,5000,,,4462,3067,,,
121,3067,4906,Carton y Papeles,5000,,,1828,387,,,
122,3336,5273,Pilas,5000,625,4424,,,,,
123,5395,2425,Plastico,5000,,,,,4612,1493,
124,8212,6173,Plastico,5000,,,,,4700,3825,
125,3867,2048,Carton y Papeles,5000,,,2527,317,,,
126,9949,698,Plastico,5000,,,,,2727,2159,
127,7843,9850,Pilas,5000,4590,2841,,,,,
128,2281,3188,Pilas,5000,3180,2125,,,,,
129,738,780,Pilas,5000,4861,2941,,,,,
130,8363,6752,Vidrio,5000,,,,,,,1498
131,9216,7867,Vidrio,5000,,,,,,,5074
132,4401,2879,Pilas,5000,1736,361,,,,,
133,4783,9499,Pilas,5000,2261,1038,,,,,
134,9148,2456,Plastico,5000,,,,,3125,3783,
135,6898,9217,Pilas,5000,4077,2508,,,,,
136,6445,3909,Carton y Papeles,5000,,,1505,4078,,,
137,1900,6369,Vidrio,5000,,,,,,,4132
138,5846,9056,Carton y Papeles,5000,,,1628,3622,,,
139,8901,8155,Plastico,5000,,,,,4712,3055,
140,8637,7718,Pilas,5000,3893,2816,,,,,
141,1034,1434,Carton y Papeles,5000,,,900,4215,,,
142,7897,2078,Pilas,5000,2226,4923,,,,,
143,9767,1193,Pilas,5000,2488,1647,,,,,
144,7333,912,Plastico,5000,,,,,4778,2853,
145,6311,9573,Vidrio,5000,,,,,,,3461
146,9015,9620,Plastico,5000,,,,,2157,869,
147,4929,9269,Vidrio,5000,,,,,,,4914
148,7368,2915,Vidrio,5000,,,,,,,1399
149,7016,5674,Plastico,5000,,,,,2236,4279,
150,674,4146,Carton y Papeles,5000,,,3719,243,,,
151,7010,2367,Pilas,5000,2227,4036,,,,,
152,9583,580,Pilas,5000,4928,4836,,,,,
153,3511,8919,Vidrio,5000,,,,,,,1184
154,2405,4292,Vidrio,5000,,,,,,,4782
155,7794,6253,Carton y Papeles,5000,,,703,2681,,,
156,6878,966,Vidrio,5000,,,,,,,381
157,2353,4490,Vidrio,5000,,,,,,,4914
158,5636,6103,Plastico,5000,,,,,237,3323,
159,8660,3655,Vidrio,5000,,,,,,,3452
160,2591,4771,Carton y Papeles,5000,,,1963,4751,,,
161,3998,2854,Pilas,5000,451,282,,,,,
162,7876,1521,Carton y Papeles,5000,,,4070,426,,,
163,6493,7151,Carton y Papeles,5000,,,2549,4362,,,
164,8281,2353,Carton y Papeles,5000,,,3729,451,,,
165,7023,3477,Carton y Papeles,5000,,,4814,2314,,,
166,3391,6368,Vidrio,5000,,,,,,,143
167,4725,5762,Carton y Papeles,5000,,,4305,1878,,,
168,8424,9347,Plastico,5000,,,,,992,3044,
169,8737,5424,Pilas,5000,2481,1268,,,,,
170,3626,3917,Vidrio,5000,,,,,,,833
171,7060,7064,Carton y Papeles,5000,,,4874,1837,,,
172,9272,6358,Carton y Papeles,5000,,,1578,2019,,,
173,1523,5496,Plastico,5000,,,,,1900,2345,
174,6826,7758,Vidrio,5000,,,,,,,4350
175,6604,6770,Pilas,5000,4269,4331,,,,,
176,7334,5068,Vidrio,5000,,,,,,,4858
177,5841,7377,Carton y Papeles,5000,,,1877,2833,,,
178,1533,6039,Pilas,5000,1046,2038,,,,,
179,4701,7483,Plastico,5000,,,,,1848,4282,
180,2856,3051,Vidrio,5000,,,,,,,3996
181,1707,9685,Vidrio,5000,,,,,,,4035
182,1710,9350,Vidrio,5000,,,,,,,3749
183,2438,3131,Pilas,5000,1682,1838,,,,,
184,4719,8603,Plastico,5000,,,,,4512,109,
185,3615,3642,Pilas,5000,1312,3707,,,,,
186,9732,8885,Pilas,5000,1914,1567,,,,,
187,1597,9070,Carton y Papeles,5000,,,1146,4778,,,
188,5469,7633,Vidrio,5000,,,,,,,1443
189,5368,4987,Vidrio,5000,,,,,,,4644
190,9757,2724,Pilas,5000,3853,2935,,,,,
191,7561,2403,Plastico,5000,,,,,1953,2117,
192,8866,7342,Carton y Papeles,5000,,,849,5033,,,
193,7632,3745,Pilas,5000,2656,5034,,,,,
194,4054,9055,Carton y Papeles,5000,,,590,3124,,,
195,7147,9195,Vidrio,5000,,,,,,,5002
196,4655,6723,Carton y Papeles,5000,,,3235,2567,,,
197,6945,5422,Pilas,5000,4767,733,,,,,
198,1872,4956,Vidrio,5000,,,,,,,468
199,3078,6069,Vidrio,5000,,,,,,,589
200,5682,846,Vidrio,5000,,,,,,,4475
201,4999,8374,Pilas,5000,1824,2511,,,,,
202,9638,3132,Carton y Papeles,5000,,,4659,369,,,
203,4953,6704,Plastico,5000,,,,,3028,4643,
204,6022,3869,Vidrio,5000,,,,,,,4313
205,6464,890,Vidrio,5000,,,,,,,3660
206,1557,3474,Vidrio,5000,,,,,,,4608
207,3355,8437,Plastico,5000,,,,,4975,1003,
208,2305,7767,Carton y Papeles,5000,,,4361,4139,,,
209,2590,9014,Pilas,5000,2353,158,,,,,
210,7557,5920,Carton y Papeles,5000,,,3165,1879,,,
211,4661,817,Carton y Papeles,5000,,,5006,4058,,,
212,3798,8698,Pilas,5000,3303,2134,,,,,
213,8768,5270,Vidrio,5000,,,,,,,1704
214,6600,3449,Carton y Papeles,5000,,,1296,1959,,,
215,8017,7301,Plastico,5000,,,,,2191,4314,
216,2383,8412,Vidrio,5000,,,,,,,1295
217,6332,2333,Plastico,5000,,,,,3391,2155,
218,9114,6370,Carton y Papeles,5000,,,3266,3059,,,
219,7353,6045,Plastico,5000,,,,,2527,3450,
220,1699,6821,Plastico,5000,,,,,4781,4860,
221,8871,8595,Vidrio,5000,,,,,,,4198
222,4913,7949,Vidrio,5000,,,,,,,2956
223,565,4162,Pilas,5000,1950,1472,,,,,
224,6503,2340,Vidrio,5000,,,,,,,336
225,8468,7003,Vidrio,5000,,,,,,,1616
226,7213,3356,Plastico,5000,,,,,3596,4827,
227,1157,8563,Pilas,5000,687,4041,,,,,
228,5412,2425,Vidrio,5000,,,,,,,3234
229,8585,7813,Pilas,5000,1590,1642,,,,,
230,3735,4632,Carton y Papeles,5000,,,4757,953,,,
231,1093,2771,Vidrio,5000,,,,,,,2184
232,3584,6186,Vidrio,5000,,,,,,,545
233,3373,7265,Carton y Papeles,5000,,,415,612,,,
234,5546,8976,Vidrio,5000,,,,,,,1955
235,9106,9555,Carton y Papeles,5000,,,4024,157,,,
236,9338,7655,Carton y Papeles,5000,,,2583,393,,,
237,6604,2449,Carton y Papeles,5000,,,451,3575,,,
238,2461,7992,Carton y Papeles,5000,,,178,335,,,
239,1642,5422,Pilas,5000,4120,3535,,,,,
240,8694,1462,Vidrio,5000,,,,,,,2188
241,9519,3911,Carton y Papeles,5000,,,4957,1137,,,
242,5804,5740,Plastico,5000,,,,,810,4920,
243,2492,9661,Vidrio,5000,,,,,,,1365
