id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
1;Plastico;2282;2509;;;;2933;;;;
2;Vidiro;5079;1860;3364;;;3904;909;;3474;
3;Pilas;8542;8430;;;;;4360;1181;;
4;Plastico;7121;6499;;;;1982;;;;
5;Pilas;7198;8707;;;;;906;3897;;
6;Plastico;8731;4665;;;;692;;;;
7;Plastico;8485;1037;;;;446;;;;
8;Pilas;4251;7060;;;;;4212;1403;;
9;Pilas;8689;5268;;;;;1163;1910;;
10;Vidiro;1895;6651;3428;;;3224;3022;;1747;
11;RAEE;6006;10121;;438;;;1379;;;
12;RAEE;9152;10422;;149;;;1466;;;
13;Vidiro;3429;2438;2875;;;4789;753;;3653;
14;RAEE;6153;9309;;4522;;;1874;;;
15;Carton;6010;8584;;;;;2113;;;
16;Plastico;6007;3349;;;;3030;;;;
17;Vidiro;4996;7495;3450;;;1934;4782;;2954;
18;Pilas;2256;6978;;;;;2722;4859;;
19;Carton;1693;9568;;;;;1835;;;
20;Vidiro;10221;3439;2630;;;1486;2762;;756;
21;RAEE;2396;1247;;3509;;;354;;;
22;Carton;10730;10898;;;;;3826;;;
23;RAEE;7393;10291;;3327;;;4073;;;
24;Vidiro;2283;6835;639;;;4910;2514;;2684;
25;RAEE;9378;7301;;2699;;;192;;;
26;Vidiro;3560;2482;1674;;;3590;4326;;1921;
27;Vidiro;5520;4987;4350;;;3985;4416;;4429;
28;Pilas;1279;9608;;;;;3606;4033;;
29;RAEE;2745;1694;;3736;;;604;;;
30;Plastico;10003;7221;;;;404;;;;
31;RAEE;2892;3833;;904;;;767;;;
32;Vidiro;5579;3379;3906;;;652;130;;4245;
33;Carton;1332;6632;;;;;4749;;;
34;RAEE;7313;9310;;523;;;3268;;;
35;Plastico;4542;9521;;;;1583;;;;
36;Plastico;8157;5366;;;;4830;;;;
37;Pilas;10600;3143;;;;;2534;3992;;
38;Plastico;9779;4101;;;;2610;;;;
39;Pilas;4611;4630;;;;;3741;2875;;
40;Vidiro;5747;5274;848;;;687;1920;;1809;
41;RAEE;8363;10989;;984;;;303;;;
42;Plastico;4087;10393;;;;3674;;;;
43;Vidiro;10124;1522;3551;;;4408;1062;;2330;
44;Vidiro;9762;1786;2473;;;4516;608;;2467;
45;Carton;9544;2607;;;;;2154;;;
46;Pilas;9708;9580;;;;;517;2395;;
47;Carton;4864;9373;;;;;4167;;;
48;Carton;2461;4925;;;;;135;;;
49;Pilas;10401;2864;;;;;2952;2624;;
50;Carton;9068;2434;;;;;3954;;;
51;Vidiro;4879;9660;4487;;;1127;4619;;2447;
52;Plastico;5020;2573;;;;4052;;;;
53;Pilas;6448;8824;;;;;764;1298;;
54;Carton;3131;7084;;;;;2508;;;
55;Carton;8425;6398;;;;;741;;;
56;Carton;3504;2013;;;;;2024;;;
