id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
1;RAEE;1746;9037;4634;;1864;2933;4872;;797;
2;Plastico;5659;2235;;3246;4026;4113;1103;2303;3406;
3;Plastico;8336;9433;;1718;2159;2749;1012;5024;1521;
4;Carton;10006;10154;2328;;1302;4907;;365;;
5;Pilas;5939;1694;2872;566;4179;3883;3153;4651;2029;
6;Pilas;7979;4564;635;1970;1721;4068;208;3339;1127;
7;Vidiro;5109;6503;;630;;4609;;;;
8;Pilas;8809;10592;464;851;3455;403;1545;1837;4527;
9;Pilas;4264;6816;1417;467;1591;4749;384;2228;284;
10;Plastico;4506;4749;;5066;3440;1632;4176;3943;287;
11;Plastico;10606;10705;;4298;2895;3461;5050;2602;3764;
12;Vidiro;8747;10240;;1111;;156;;;;
13;Carton;8653;9681;596;;3430;2160;;2725;;
14;Carton;4514;6566;4118;;1985;2519;;2002;;
15;Pilas;6961;8614;2019;3771;187;1218;1566;4900;2520;
16;Plastico;9969;10816;;4661;4359;2631;4717;3364;2664;
17;RAEE;7393;9760;4905;;2837;860;1824;;1916;
18;Pilas;7130;4609;3133;1022;1949;223;2941;621;1662;
19;Plastico;6311;4339;;2831;3760;1278;4351;3321;1889;
20;Vidiro;9134;10191;;798;;2036;;;;
21;Plastico;9813;3944;;3003;156;4918;4819;2638;3527;
22;Carton;9954;7923;2255;;3498;3642;;2776;;
23;Vidiro;5960;6206;;2774;;4389;;;;
24;Pilas;2028;1204;702;2093;3126;4893;2146;176;1829;
25;Vidiro;3212;5372;;215;;880;;;;
26;RAEE;5641;5834;3168;;240;1694;221;;2395;
27;RAEE;5993;4664;5053;;3970;3792;4080;;3259;
28;Plastico;2072;10184;;3126;2630;2530;2919;4676;3959;
29;Carton;6901;2788;824;;3355;464;;466;;
30;RAEE;9089;1035;4681;;1729;5008;1977;;1722;
31;Vidiro;4572;5553;;3894;;4697;;;;
32;RAEE;7908;4305;2544;;2809;3796;5074;;1592;
33;Carton;8867;1903;3868;;4143;5034;;4593;;
34;RAEE;3299;6298;1840;;1785;4745;1422;;3415;
35;RAEE;10553;9199;4577;;2852;4317;3371;;2449;
36;Pilas;2125;8929;5022;738;4518;4996;2230;3738;899;
37;Vidiro;9833;8406;;3868;;1999;;;;
38;Pilas;8142;6418;334;2204;2856;1656;1871;3761;1207;
39;Carton;9060;4139;2378;;2862;4012;;4855;;
40;Plastico;3043;5635;;4134;4153;4674;2616;2791;1825;
41;Vidiro;2350;2450;;218;;3449;;;;
42;Plastico;6062;7888;;1749;4092;2020;3305;863;681;
43;Plastico;10313;4824;;976;2554;2935;4889;2309;4978;
44;Plastico;5424;2887;;4929;2913;1529;2621;4638;4231;
45;Carton;4971;8459;3772;;3973;2589;;2936;;
46;Carton;1522;8834;3828;;5049;438;;4493;;
47;RAEE;4773;1410;2679;;4697;1510;4889;;928;
48;Plastico;1834;7676;;764;941;3973;4637;479;3104;
49;Pilas;5860;3838;3632;3164;2547;1469;3686;381;2577;
50;Pilas;9666;6230;3159;456;4678;4781;3035;4275;1191;
51;Vidiro;10076;2355;;852;;2548;;;;
52;Carton;4942;8945;3579;;3425;778;;3439;;
53;Vidiro;3515;5283;;679;;3182;;;;
54;Vidiro;1944;10166;;3522;;4284;;;;
55;RAEE;5946;8589;1754;;2267;3377;4689;;2795;
56;Pilas;5368;4666;2746;870;2950;3040;3816;4272;2871;
57;Plastico;4393;10850;;1008;585;2138;2940;3668;3082;
58;Carton;9358;9283;2642;;4681;446;;1238;;
59;Pilas;7235;9865;925;3012;236;943;3415;4234;3065;
60;Vidiro;7165;8075;;1789;;4946;;;;
61;Carton;7426;8891;3787;;3477;799;;1627;;
62;Plastico;4297;4681;;3032;1538;3879;2614;3236;1370;
63;Pilas;4749;9353;1026;1366;2273;3221;4681;1408;1187;
64;Pilas;1746;4383;3888;4681;1999;1779;3342;686;1508;
65;Plastico;4941;4465;;4075;4802;4090;1865;4933;2956;
66;Pilas;7253;2103;4706;1889;3984;972;4062;2105;553;
67;Plastico;7622;10444;;105;3665;2792;1039;564;4471;
68;Plastico;1533;3402;;4575;967;3289;4902;669;2279;
69;Pilas;2567;1402;2920;2958;3093;2526;4747;1977;4751;
70;RAEE;10961;1234;1684;;4779;4108;3041;;4696;
71;Plastico;9052;1232;;2524;866;3914;4656;341;1133;
