id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,924,4502,4000,2000,11
2,3552,107,4000,2000,34
3,3074,2618,4000,2000,45
4,3662,319,4000,2000,13
5,4000,4074,4000,2000,20
6,5077,3172,4000,2000,40
7,1093,3339,4000,2000,10
8,1348,2725,4000,2000,13
9,1658,3102,4000,2000,32
10,699,809,4000,2000,34
11,923,2986,4000,2000,37
12,226,1438,4000,2000,46
13,1703,4412,4000,2000,14
14,3440,4327,4000,2000,34
15,343,3227,4000,2000,10
16,2656,4557,4000,2000,35
17,3036,1902,4000,2000,24
18,3438,3150,4000,2000,51
19,4741,1060,4000,2000,53
20,3265,1659,4000,2000,13
21,1940,3834,4000,2000,49
22,5017,312,4000,2000,39
23,805,1915,4000,2000,53
24,2759,256,4000,2000,30
25,1285,1851,4000,2000,10
26,3786,4407,4000,2000,19
27,2063,2343,4000,2000,21
28,2227,682,4000,2000,23
29,2720,1675,4000,2000,33
30,4864,4841,4000,2000,44
31,4069,1681,4000,2000,30
32,1160,2950,4000,2000,42
33,4589,3655,4000,2000,10
34,3682,2666,4000,2000,18
35,3355,204,4000,2000,19
36,2507,242,4000,2000,27
37,1116,2205,4000,2000,22
38,2879,684,4000,2000,54
39,4044,3304,4000,2000,32
40,1169,4420,4000,2000,23
41,4853,3389,4000,2000,56
42,4975,801,4000,2000,56
43,309,290,4000,2000,13
44,2459,225,4000,2000,31
45,1117,3480,4000,2000,35
46,1527,2239,4000,2000,27
47,2596,4607,4000,2000,32
48,908,3738,4000,2000,16
49,1155,2682,4000,2000,21
50,2977,3751,4000,2000,43
