id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,3872,2136,4000,2000,30
2,9851,8544,4000,2000,40
3,5857,6680,4000,2000,28
4,9946,7879,4000,2000,43
5,9839,9340,4000,2000,41
6,1473,1575,4000,2000,56
7,6734,1826,4000,2000,31
8,6742,9442,4000,2000,17
9,1796,8506,4000,2000,42
10,4896,2579,4000,2000,56
11,3948,6605,4000,2000,54
12,1101,7402,4000,2000,29
13,7930,9426,4000,2000,48
14,1753,5442,4000,2000,39
15,7164,8720,4000,2000,30
16,8896,9103,4000,2000,14
17,7846,9803,4000,2000,22
18,8837,9609,4000,2000,35
19,2318,5963,4000,2000,38
20,9678,5590,4000,2000,52
21,5360,5203,4000,2000,48
22,1888,5489,4000,2000,47
23,6860,5466,4000,2000,14
24,5788,4028,4000,2000,22
25,5595,2616,4000,2000,41
26,9526,6914,4000,2000,24
27,9876,6241,4000,2000,37
28,8825,2617,4000,2000,26
29,7128,8212,4000,2000,56
30,2448,4311,4000,2000,12
